3597,1191,1418481
3483,1362,1855044
2815,1227,1505529
2304,793,628849
1963,255,65025
1594,-191,36481
1400,-487,237169
1115,-658,432964
2752,-564,318096
2271,-166,27556
1930,97,9409
1560,-24,576
1326,-333,110889
1097,-613,375769
1033,-759,576081
1160,-734,538756
1160,-570,324900
1757,-298,88804
2319,108,11664
2730,580,336400
3305,998,996004
3563,1300,1690000
3499,1411,1990921
2842,1230,1512900
2344,762,580644
1981,192,36864
1610,-285,81225
1422,-600,360000
1118,-772,595984
1040,-851,724201
1116,-836,698896
1095,-735,540225
1646,-548,300304
1327,-323,104329
1112,-224,50176
1063,-274,75076
1145,-322,103684
1162,-280,78400
1772,-111,12321
2313,225,50625
2717,651,423801
3310,1039,1079521
3566,1330,1768900
3486,1441,2076481
2840,1263,1595169
2334,802,643204
1982,240,57600
1596,-232,53824
1417,-551,303601
1113,-735,540225
1035,-831,690561
1135,-837,700569
1117,-756,571536
1678,-589,346921
2204,-290,84100
2679,98,9604
3224,479,229441
1128,530,280900
1118,39,1521
1728,-441,194481
2279,-384,147456
2718,73,5329
3278,614,376996
3547,1044,1089936
3512,1242,1542564
2876,1115,1243225
2380,672,451584
